valor_ipc,categoria_gasto,fecha_iso,indicador
81.254,IPC General,2006-10-01,IPC_Indice_Base_2021_INE
80.922,IPC General,2006-09-01,IPC_Indice_Base_2021_INE
81.055,IPC General,2006-08-01,IPC_Indice_Base_2021_INE
80.89,IPC General,2006-07-01,IPC_Indice_Base_2021_INE
81.374,IPC General,2006-06-01,IPC_Indice_Base_2021_INE
81.251,IPC General,2006-05-01,IPC_Indice_Base_2021_INE
80.959,IPC General,2006-04-01,IPC_Indice_Base_2021_INE
79.833,IPC General,2006-03-01,IPC_Indice_Base_2021_INE
79.272,IPC General,2006-02-01,IPC_Indice_Base_2021_INE
79.234,IPC General,2006-01-01,IPC_Indice_Base_2021_INE
79.557,IPC General,2005-12-01,IPC_Indice_Base_2021_INE
79.386,IPC General,2005-11-01,IPC_Indice_Base_2021_INE
79.266,IPC General,2005-10-01,IPC_Indice_Base_2021_INE
78.627,IPC General,2005-09-01,IPC_Indice_Base_2021_INE
78.147,IPC General,2005-08-01,IPC_Indice_Base_2021_INE
77.805,IPC General,2005-07-01,IPC_Indice_Base_2021_INE
78.284,IPC General,2005-06-01,IPC_Indice_Base_2021_INE
78.102,IPC General,2005-05-01,IPC_Indice_Base_2021_INE
77.953,IPC General,2005-04-01,IPC_Indice_Base_2021_INE
76.846,IPC General,2005-03-01,IPC_Indice_Base_2021_INE
76.243,IPC General,2005-02-01,IPC_Indice_Base_2021_INE
76.046,IPC General,2005-01-01,IPC_Indice_Base_2021_INE
76.692,IPC General,2004-12-01,IPC_Indice_Base_2021_INE
76.767,IPC General,2004-11-01,IPC_Indice_Base_2021_INE
76.575,IPC General,2004-10-01,IPC_Indice_Base_2021_INE
75.796,IPC General,2004-09-01,IPC_Indice_Base_2021_INE
75.661,IPC General,2004-08-01,IPC_Indice_Base_2021_INE
75.328,IPC General,2004-07-01,IPC_Indice_Base_2021_INE
75.904,IPC General,2004-06-01,IPC_Indice_Base_2021_INE
75.784,IPC General,2004-05-01,IPC_Indice_Base_2021_INE
75.34,IPC General,2004-04-01,IPC_Indice_Base_2021_INE
74.322,IPC General,2004-03-01,IPC_Indice_Base_2021_INE
73.807,IPC General,2004-02-01,IPC_Indice_Base_2021_INE
73.773,IPC General,2004-01-01,IPC_Indice_Base_2021_INE
74.294,IPC General,2003-12-01,IPC_Indice_Base_2021_INE
74.167,IPC General,2003-11-01,IPC_Indice_Base_2021_INE
73.926,IPC General,2003-10-01,IPC_Indice_Base_2021_INE
73.431,IPC General,2003-09-01,IPC_Indice_Base_2021_INE
73.213,IPC General,2003-08-01,IPC_Indice_Base_2021_INE
72.878,IPC General,2003-07-01,IPC_Indice_Base_2021_INE
73.338,IPC General,2003-06-01,IPC_Indice_Base_2021_INE
73.289,IPC General,2003-05-01,IPC_Indice_Base_2021_INE
73.357,IPC General,2003-04-01,IPC_Indice_Base_2021_INE
72.765,IPC General,2003-03-01,IPC_Indice_Base_2021_INE
72.264,IPC General,2003-02-01,IPC_Indice_Base_2021_INE
72.111,IPC General,2003-01-01,IPC_Indice_Base_2021_INE
72.409,IPC General,2002-12-01,IPC_Indice_Base_2021_INE
72.169,IPC General,2002-11-01,IPC_Indice_Base_2021_INE
72.058,IPC General,2002-10-01,IPC_Indice_Base_2021_INE
71.351,IPC General,2002-09-01,IPC_Indice_Base_2021_INE
